17:47:37.179 -> ⸮⸮d1
17:47:38.393 -> 0.150146, 1.006104, -0.076172, -3.297710, -72.916031, 1.160305
17:47:38.393 -> 0.160156, 1.005859, -0.072998, -3.419847, -72.488548, 1.038168
17:47:38.461 -> 0.153320, 1.009766, -0.083252, -3.297710, -72.427483, 1.099237
17:47:38.461 -> 0.145752, 1.002930, -0.076904, -3.480916, -71.938934, 1.221374
17:47:38.461 -> 0.152588, 1.014404, -0.096436, -3.236641, -71.572517, 1.099237
17:47:38.461 -> 0.153809, 1.013184, -0.078125, -3.480916, -71.267174, 1.221374
17:47:38.461 -> 0.151367, 1.003174, -0.086914, -3.419847, -71.083969, 1.099237
17:47:38.501 -> 0.142822, 1.006836, -0.082275, -3.358779, -70.961830, 1.160305
17:47:38.501 -> 0.151123, 1.008545, -0.089355, -3.297710, -70.595421, 1.099237
17:47:38.501 -> 0.143799, 1.010010, -0.080811, -2.992366, -70.351143, 0.977099
17:47:38.562 -> 0.143555, 1.006836, -0.083008, -3.175573, -69.862595, 1.160305
17:47:38.562 -> 0.135498, 1.005371, -0.074219, -3.053435, -69.618324, 0.977099
17:47:38.562 -> 0.142822, 1.004395, -0.081543, -3.114504, -69.312981, 0.977099
17:47:38.562 -> 0.134277, 1.014893, -0.074463, -3.175573, -68.885498, 1.221374
17:47:38.562 -> 0.131592, 1.010742, -0.064209, -2.992366, -68.335876, 1.221374
17:47:38.610 -> 0.138184, 1.003662, -0.063721, -3.236641, -68.030533, 1.038168
17:47:38.610 -> 0.133789, 1.008789, -0.073975, -3.297710, -67.786263, 1.221374
17:47:38.610 -> 0.133301, 1.008057, -0.057373, -3.358779, -67.297707, 1.099237
17:47:38.679 -> 0.133545, 1.004150, -0.069092, -3.297710, -66.809158, 1.160305
17:47:38.679 -> 0.126953, 1.014404, -0.065918, -3.175573, -66.320610, 0.977099
17:47:38.679 -> 0.131592, 1.010498, -0.053711, -3.175573, -65.770996, 1.099237
17:47:38.679 -> 0.120117, 1.013428, -0.057129, -3.358779, -65.099236, 1.160305
17:47:38.679 -> 0.127197, 1.012451, -0.052734, -3.236641, -64.610687, 0.977099
17:47:38.755 -> 0.124023, 1.010742, -0.038574, -3.358779, -64.061066, 0.916031
17:47:38.755 -> 0.123535, 1.012939, -0.027832, -3.114504, -63.389313, 1.160305
17:47:38.755 -> 0.116211, 1.009521, -0.038818, -3.236641, -62.656490, 1.038168
17:47:38.755 -> 0.111084, 1.011719, -0.026855, -3.114504, -61.984734, 1.038168
17:47:38.755 -> 0.110840, 1.005615, -0.026367, -3.114504, -61.251907, 0.977099
17:47:38.755 -> 0.106934, 1.004395, -0.030518, -3.053435, -60.274811, 1.282443
17:47:38.811 -> 0.107422, 1.006348, -0.014648, -3.236641, -59.358780, 0.977099
17:47:38.811 -> 0.102295, 1.012451, 0.025146, -3.175573, -58.320610, 0.977099
17:47:38.811 -> 0.095703, 1.010742, 0.047607, -2.687023, -56.977100, 0.977099
17:47:38.811 -> 0.092773, 1.010498, 0.081787, -2.564886, -55.267178, 1.099237
17:47:38.864 -> 0.083252, 1.002686, 0.125977, -2.625954, -53.129772, 1.160305
17:47:38.864 -> 0.083008, 1.012939, 0.197266, -2.687023, -50.748093, 0.916031
17:47:38.864 -> 0.061523, 1.009277, 0.243164, -2.748092, -47.816795, 1.221374
17:47:38.864 -> 0.053467, 1.008057, 0.316895, -2.748092, -44.091602, 1.221374
17:47:38.933 -> 0.046631, 1.014404, 0.379883, -2.442748, -39.877861, 0.977099
17:47:38.933 -> 0.031250, 1.005371, 0.418945, -2.381679, -35.236641, 0.977099
17:47:38.933 -> 0.018066, 1.002197, 0.474609, -2.259542, -30.290077, 0.793893
17:47:38.933 -> 0.017822, 1.006836, 0.472412, -2.748092, -24.732824, 0.977099
17:47:38.933 -> 0.013184, 1.007568, 0.433105, -3.053435, -19.603054, 0.916031
17:47:38.933 -> 0.013916, 1.010254, 0.389160, -3.175573, -14.656488, 1.038168
17:47:38.977 -> 0.293213, 1.053467, 0.301514, -2.625954, -10.015267, 0.793893
17:47:38.977 -> -0.087891, 1.008057, 0.209717, -3.847328, -7.572519, 0.916031
17:47:38.977 -> 0.053467, 1.000244, -0.015869, -4.030534, -5.496183, 0.916031
17:47:39.027 -> -0.004150, 1.001221, -0.044434, -4.458015, -5.557252, 0.916031
17:47:39.027 -> 0.037354, 1.006592, -0.239502, -4.030534, -5.435114, 0.977099
17:47:39.027 -> -0.008789, 1.007568, -0.243164, -2.015267, -6.473282, 0.671756
17:47:39.027 -> 0.038330, 0.989990, -0.162109, -2.870229, -7.022901, 0.793893
17:47:39.089 -> 0.024902, 1.004395, -0.283691, -4.091603, -9.221375, 0.854962
17:47:39.089 -> 0.010498, 1.012207, -0.213379, -1.709924, -10.259542, 0.916031
17:47:39.089 -> 0.039551, 0.976807, -0.189453, -3.053435, -10.259542, 0.916031
17:47:39.089 -> 0.023682, 1.019287, -0.242920, -2.748092, -11.908397, 0.793893
17:47:39.144 -> 0.017334, 1.015869, -0.153564, -1.954198, -12.519084, 0.854962
