ax, ay, az, gx, gy, gz, state
0.028076, 1.010742, -0.126709, -3.175573, -0.671756, 0.732824, closed
0.029053, 1.008789, -0.118652, -3.358779, -0.732824, 0.793893, closed
0.029297, 1.003662, -0.114746, -3.175573, -0.610687, 0.854962, closed
0.024170, 1.007324, -0.120850, -3.175573, -0.610687, 0.977099, closed
0.033936, 1.010986, -0.123535, -3.236641, -0.671756, 0.916031, closed
0.027832, 1.007324, -0.117676, -3.297710, -0.610687, 0.793893, closed
0.028076, 1.009033, -0.125732, -3.419847, -0.671756, 0.732824, closed
0.022217, 1.008545, -0.110840, -3.236641, -0.488550, 0.671756, closed
0.022949, 1.011719, -0.115723, -3.175573, -0.793893, 0.732824, closed
0.032715, 1.009521, -0.127686, -3.175573, -0.610687, 0.732824, closed
0.029297, 1.007080, -0.127930, -3.297710, -0.610687, 0.671756, closed
0.034668, 1.003174, -0.121582, -3.114504, -0.488550, 0.977099, closed
0.031982, 1.011475, -0.112305, -3.236641, -0.610687, 0.732824, closed
0.028564, 1.010986, -0.122314, -3.358779, -0.488550, 0.793893, closed
0.027832, 1.003418, -0.113037, -3.236641, -0.549618, 0.854962, closed
0.025391, 1.007812, -0.122559, -3.236641, -0.732824, 0.793893, closed
0.025635, 1.008301, -0.123535, -3.358779, -0.610687, 0.854962, closed
0.024414, 1.006836, -0.125244, -3.358779, -0.610687, 0.732824, closed
0.025391, 1.008789, -0.128662, -3.358779, -0.549618, 0.977099, closed
0.021973, 1.010254, -0.112793, -3.358779, -0.671756, 0.854962, closed
0.023926, 1.012451, -0.123535, -3.358779, -0.488550, 0.916031, closed
0.025879, 1.007568, -0.122803, -3.358779, -0.671756, 0.793893, closed
0.025146, 1.004150, -0.121582, -3.236641, -0.549618, 0.916031, closed
0.022705, 1.010010, -0.118408, -3.297710, -0.732824, 0.854962, closed
0.023193, 1.005127, -0.121582, -3.297710, -0.671756, 0.793893, closed
0.031250, 1.006592, -0.124023, -3.236641, -0.671756, 0.732824, closed
0.029541, 1.006104, -0.121094, -3.419847, -0.732824, 0.793893, closed
0.026611, 1.007812, -0.115234, -3.419847, -0.427481, 0.793893, closed
0.031006, 1.007080, -0.114502, -3.236641, -0.671756, 0.793893, closed
0.031738, 1.013428, -0.118896, -3.358779, -0.732824, 0.793893, closed
0.028809, 1.009521, -0.123535, -3.297710, -0.488550, 0.671756, closed
0.029297, 1.009766, -0.116699, -3.358779, -0.610687, 0.854962, closed
0.025391, 1.005859, -0.118408, -3.236641, -0.793893, 0.793893, closed
0.029785, 1.009277, -0.118164, -3.358779, -0.671756, 0.977099, closed
0.027832, 1.007812, -0.114990, -3.297710, -0.549618, 0.854962, closed
0.026123, 1.013184, -0.121582, -3.175573, -0.549618, 0.854962, closed
0.024902, 1.009277, -0.124512, -3.297710, -0.671756, 0.793893, closed
0.028076, 1.010742, -0.124023, -3.358779, -0.549618, 0.671756, closed
0.028564, 1.008057, -0.118164, -3.297710, -0.549618, 0.793893, closed
0.024902, 1.009766, -0.123535, -3.358779, -0.610687, 0.977099, closed
0.019531, 1.013428, -0.122803, -3.236641, -0.549618, 0.671756, closed
0.023926, 1.015137, -0.122314, -3.114504, -0.610687, 0.854962, closed
0.030762, 1.003174, -0.128418, -3.358779, -0.549618, 0.793893, closed
0.025879, 1.007812, -0.121338, -3.175573, -0.671756, 0.854962, closed
0.020508, 1.008545, -0.116455, -3.236641, -0.549618, 0.732824, closed
0.029053, 1.009033, -0.122559, -3.236641, -0.610687, 0.793893, closed
0.022949, 1.006592, -0.120850, -3.236641, -0.671756, 0.793893, closed
0.024170, 1.004883, -0.118164, -3.053435, -0.610687, 0.732824, closed
0.025146, 1.002441, -0.123535, -3.175573, -0.549618, 0.854962, closed
0.027832, 1.007812, -0.121826, -3.358779, -0.610687, 0.671756, closed
0.024658, 1.008789, -0.118652, -3.175573, -0.793893, 0.854962, closed
0.020264, 1.010254, -0.117676, -3.236641, -0.732824, 0.610687, closed
0.031494, 1.013916, -0.118164, -3.419847, -0.549618, 0.793893, closed
0.026123, 1.006348, -0.111328, -3.114504, -0.732824, 0.854962, closed
0.020996, 1.015381, -0.117188, -3.358779, -0.671756, 0.793893, closed
0.023193, 1.012939, -0.120361, -3.358779, -0.427481, 0.916031, closed
0.025391, 1.001709, -0.118408, -3.297710, -0.488550, 0.916031, closed
0.028564, 1.014160, -0.120850, -3.419847, -0.671756, 0.854962, closed
0.027100, 1.007080, -0.124023, -3.114504, -0.610687, 0.793893, closed
0.024658, 1.012695, -0.114990, -3.297710, -0.732824, 0.671756, closed
0.025879, 1.011230, -0.126465, -3.236641, -0.793893, 0.671756, closed
