ax, ay, az, gx, gy, gz, state
0.106445, 1.013916, -0.128906, -3.175573, 53.435116, 0.610687, opening
0.093994, 0.995605, -0.153564, -3.358779, 53.190842, 0.549618, opening
0.101807, 0.991943, -0.138184, -3.297710, 53.007633, 0.549618, opening
0.100586, 1.017334, -0.142822, -2.809160, 52.763359, 0.244275, opening
0.100342, 1.003662, -0.148193, -2.931298, 52.335876, 0.427481, opening
0.084961, 1.006348, -0.131104, -2.809160, 51.969467, 0.549618, opening
0.085205, 1.012695, -0.128906, -2.931298, 52.213741, 0.488550, opening
0.106445, 1.005127, -0.154297, -2.992366, 51.725189, 0.671756, opening
0.102051, 1.004395, -0.143311, -3.114504, 51.603054, 0.366412, opening
0.093262, 1.012207, -0.139893, -3.175573, 51.236641, 0.305344, opening
0.097900, 1.005615, -0.142822, -3.847328, 50.992367, 0.488550, opening
0.097656, 1.011719, -0.146240, -3.236641, 50.748093, 0.366412, opening
0.100342, 1.006592, -0.135742, -4.213740, 50.992367, 0.366412, opening
0.087158, 1.006836, -0.141846, -4.274809, 50.137405, 0.427481, opening
0.090088, 0.995117, -0.133057, -4.763359, 50.015266, 0.427481, opening
0.096436, 1.009766, -0.128418, -5.618320, 49.526718, 0.305344, opening
0.095947, 1.014893, -0.147217, -5.557252, 49.404579, 0.488550, opening
0.087158, 1.008301, -0.126709, -4.213740, 49.282444, 0.610687, opening
0.090820, 1.008545, -0.139160, -3.603053, 49.038170, 0.366412, opening
0.087158, 1.002197, -0.126221, -2.748092, 48.793892, 0.549618, opening
0.090820, 1.010010, -0.142334, -2.564886, 48.732826, 0.427481, opening
0.079346, 1.002930, -0.132812, -2.381679, 48.671757, 0.488550, opening
0.089111, 1.019775, -0.138428, -2.625954, 48.305344, 0.488550, opening
0.078125, 1.000732, -0.146240, -2.625954, 48.000000, 0.427481, opening
0.090332, 1.018555, -0.143555, -3.236641, 47.572517, 0.488550, opening
0.081055, 1.003418, -0.135986, -3.297710, 47.694656, 0.488550, opening
0.086670, 1.008301, -0.145752, -3.297710, 47.450382, 0.488550, opening
0.086426, 1.010010, -0.143555, -3.236641, 47.206108, 0.549618, opening
0.090576, 1.009766, -0.128418, -2.992366, 47.022900, 0.427481, opening
0.169434, 0.937500, -0.197266, -1.954198, 46.229008, -1.099237, opening
0.091553, 0.991455, -0.164795, 1.160305, 46.839695, 0.305344, opening
0.078613, 0.993164, -0.095703, -2.503817, 45.984734, 0.549618, opening
0.081299, 0.999268, -0.137939, -1.770992, 46.290077, 0.610687, opening
0.081299, 1.019043, -0.143555, -2.137405, 46.045803, 0.488550, opening
0.076416, 1.005127, -0.143311, -2.625954, 45.557251, 0.549618, opening
0.075928, 1.012695, -0.153320, -3.419847, 45.251907, 0.427481, opening
0.080322, 1.003662, -0.141357, -3.603053, 45.068703, 0.366412, opening
0.082031, 1.017822, -0.146484, -4.152672, 44.885498, 0.366412, opening
0.076172, 1.003906, -0.147217, -3.664122, 44.396946, 0.488550, opening
0.076904, 1.006348, -0.139404, -2.870229, 44.335876, 0.366412, opening
0.074707, 1.004395, -0.141113, -3.114504, 44.030533, 0.488550, opening
0.091797, 1.022705, -0.270752, -4.641222, 43.541985, 0.549618, opening
0.082520, 1.015137, -0.199707, -4.519084, 42.931297, 0.488550, opening
0.079102, 1.003174, -0.218262, -4.641222, 42.259541, 0.366412, opening
0.057129, 1.004639, -0.244873, -2.748092, 41.038170, 0.549618, opening
0.080322, 0.992432, -0.232178, -4.274809, 39.328243, 0.610687, opening
0.073730, 1.012939, -0.347900, -5.129771, 37.801525, 0.366412, opening
0.072021, 1.005615, -0.371826, -3.297710, 35.480915, 0.549618, opening
0.062012, 1.018311, -0.365479, -3.480916, 33.282444, 0.549618, opening
0.064453, 1.020264, -0.366455, -2.442748, 31.694656, 0.549618, opening
0.063232, 1.005615, -0.333740, -0.916031, 29.618320, 0.610687, opening
0.084717, 0.974854, -0.380859, -3.847328, 27.358778, 0.671756, opening
0.051758, 1.029297, -0.362305, -4.946565, 24.549618, 0.549618, opening
0.031250, 1.021240, -0.324951, -2.503817, 22.656488, 0.671756, opening
0.049805, 1.009033, -0.314697, -2.992366, 21.435114, 0.549618, opening
0.037354, 1.026611, -0.270508, -3.603053, 19.725191, 0.671756, opening
0.039795, 1.005371, -0.258301, -2.748092, 18.687023, 0.549618, opening
0.042480, 0.996338, -0.232910, -2.625954, 17.343512, 0.732824, opening
0.040527, 1.021240, -0.221924, -2.992366, 15.877863, 0.671756, opening
0.033936, 1.017578, -0.223145, -2.381679, 15.267176, 0.732824, opening
0.028564, 1.015625, -0.209717, -3.297710, 14.229008, 0.671756, opening
0.035400, 1.006104, -0.212646, -2.748092, 13.557252, 0.854962, opening
0.036377, 0.985107, -0.217773, -3.175573, 12.458015, 0.977099, opening
0.029053, 1.008789, -0.208008, -3.053435, 11.786260, 0.732824, opening
0.028564, 1.021484, -0.176514, -2.564886, 10.992367, 0.793893, opening
0.040039, 1.004395, -0.198730, -2.564886, 10.625955, 0.732824, opening
0.039062, 1.003662, -0.185303, -2.687023, 9.709924, 0.610687, opening
0.013672, 1.008057, -0.148682, -2.564886, 9.221375, 0.671756, opening
0.009521, 1.030273, -0.156494, -2.809160, 8.732824, 0.488550, opening
0.044189, 0.960938, -0.174316, -2.809160, 8.366412, 0.732824, opening
0.039307, 1.016357, -0.173340, -3.297710, 7.450382, 0.183206, opening
0.030762, 1.032715, -0.197021, -2.992366, 6.778626, 0.610687, opening
0.020020, 1.009277, -0.174805, -3.603053, 7.206107, 0.671756, opening
0.038330, 1.001953, -0.174316, -1.648855, 6.106870, 0.732824, opening
0.026367, 1.027100, -0.155029, -2.809160, 6.106870, 0.610687, opening
0.005615, 0.989990, -0.125732, -2.748092, 5.618320, 0.549618, opening
0.045166, 0.982910, -0.148682, -3.480916, 5.801527, 0.671756, opening
0.006592, 1.017090, -0.078369, -2.503817, 4.885496, 0.793893, opening
0.033203, 1.010254, -0.137939, -2.625954, 5.435114, 0.549618, opening
0.032959, 1.015869, -0.159912, -2.503817, 4.946565, 0.488550, opening
0.034180, 1.020996, -0.160645, -3.664122, 4.763359, 0.610687, opening
0.014160, 1.002441, -0.119385, -2.625954, 5.190840, 0.549618, opening
0.034180, 1.015381, -0.145996, -3.358779, 4.213740, 0.610687, opening
0.021240, 0.991455, -0.074707, -5.496183, 4.091603, 0.732824, opening
0.032959, 1.029785, -0.170898, -3.358779, 4.152672, 0.793893, opening
0.026611, 1.013184, -0.138672, -4.274809, 4.152672, 0.732824, opening
0.029053, 1.011475, -0.143311, -4.213740, 4.030534, 0.854962, opening
0.026611, 1.010742, -0.143066, -3.725191, 3.847328, 0.854962, opening
0.026367, 1.005371, -0.145996, -3.541985, 3.541985, 0.671756, opening
0.030273, 1.011230, -0.146729, -2.870229, 3.297710, 0.793893, opening
0.029297, 1.011719, -0.156738, -2.870229, 3.053435, 0.671756, opening
0.026367, 1.007080, -0.153564, -3.053435, 2.809160, 0.854962, opening
0.025146, 1.007568, -0.140137, -3.358779, 2.625954, 0.793893, opening
0.022461, 1.006592, -0.119385, -3.236641, -0.549618, 0.671756, opening
0.022949, 1.011230, -0.113770, -3.297710, -0.793893, 0.671756, opening
0.010742, 1.005615, -0.110596, -3.175573, -0.610687, 0.610687, opening
0.019043, 1.009277, -0.119873, -3.297710, -0.732824, 0.793893, opening
0.017578, 1.010010, -0.120850, -3.236641, -0.427481, 0.732824, opening
0.016602, 1.011963, -0.113770, -3.236641, -0.610687, 0.854962, opening
0.020752, 1.004395, -0.115723, -3.419847, -0.549618, 0.671756, opening
0.021973, 1.009766, -0.115234, -3.175573, -0.671756, 0.793893, opening
0.011719, 1.010010, -0.114502, -3.175573, -0.671756, 0.732824, opening
0.019531, 1.009766, -0.124512, -3.297710, -0.732824, 0.793893, opening
0.020264, 1.010498, -0.112793, -3.236641, -0.671756, 0.732824, opening
0.014893, 1.009521, -0.123779, -3.114504, -0.549618, 0.732824, opening
0.027100, 1.001709, -0.116211, -3.175573, -0.671756, 0.549618, opening
0.017334, 1.012207, -0.120117, -3.114504, -0.488550, 0.793893, opening
0.024902, 1.006348, -0.115234, -3.297710, -0.732824, 0.732824, opening
0.012695, 1.009033, -0.125732, -3.175573, -0.793893, 0.793893, opening
0.024170, 1.009277, -0.120850, -3.297710, -0.610687, 0.732824, opening
0.027100, 1.008789, -0.119629, -3.236641, -0.549618, 0.732824, opening
0.020020, 1.010498, -0.118896, -3.297710, -0.671756, 0.793893, opening
0.023926, 1.011475, -0.122314, -3.236641, -0.427481, 0.854962, opening
0.017822, 1.003174, -0.123535, -3.236641, -0.732824, 0.854962, opening
0.018555, 1.010254, -0.128906, -3.297710, -0.610687, 0.854962, opening
0.023193, 1.006592, -0.113770, -3.175573, -0.610687, 0.793893, opening
0.023438, 1.014160, -0.108398, -3.297710, -0.549618, 0.732824, opening
0.036377, 1.007568, -0.125732, -3.480916, -0.305344, 0.732824, opening
0.008545, 0.998047, -0.059814, -2.992366, -1.221374, 0.977099, opening
-0.040283, 1.040283, -0.129639, -3.603053, -0.671756, 0.854962, opening
