ax,az,gx,gz,state
0.000000,-0.046919,-2.931298,1.160305,moving
0.000000,-0.056929,-3.053435,0.977099,moving
0.000000,-0.090620,-3.114504,1.160305,moving
0.000000,-0.085005,-3.480916,0.977099,moving
0.000000,-0.074995,-3.480916,0.977099,moving
0.000000,-0.058149,-3.664122,1.282443,moving
0.000000,-0.051313,-3.541985,0.916031,moving
0.000000,-0.060103,-3.053435,1.160305,moving
0.000000,-0.037397,-3.114504,1.343511,moving
0.000000,-0.063765,-3.175573,1.099237,moving
0.000000,-0.059858,-3.175573,1.404580,moving
0.000000,-0.070601,-3.053435,1.160305,moving
0.000000,-0.098677,-3.053435,1.404580,moving
0.000000,-0.133833,-2.687023,1.526718,moving
0.000000,-0.144575,-2.687023,1.465649,moving
0.000000,-0.150923,-3.480916,1.526718,moving
0.000000,-0.144819,-3.847328,1.648855,moving
0.000000,-0.135542,-3.969466,1.587786,moving
0.000000,-0.116987,-3.786260,1.832061,moving
0.017046,-0.115522,-2.198473,1.526718,moving
0.000000,-0.129927,-2.992366,1.709924,moving
0.000000,-0.118696,-2.992366,1.832061,moving
0.000000,-0.121382,-3.053435,1.770992,moving
0.000000,-0.169233,-3.114504,1.954198,moving
0.015093,-0.138472,-2.931298,2.076336,moving
0.000000,-0.191694,-2.381679,2.137405,moving
0.018022,-0.219038,-2.503817,2.259542,moving
0.000000,-0.226606,-3.114504,2.503817,moving
0.032671,-0.236372,-3.236641,2.442748,moving
0.037310,-0.278853,-4.274809,2.564886,moving
0.041216,-0.251753,-4.274809,2.748092,moving
0.021196,-0.239302,-5.374046,2.748092,moving
0.031938,-0.243696,-3.053435,2.992366,moving
0.038774,-0.251997,-4.213740,3.053435,moving
0.069292,-0.183149,-4.702290,3.236641,moving
0.062456,-0.115767,-4.030534,3.175573,moving
0.056108,-0.028364,-5.007634,3.114504,moving
0.045610,0.000000,-3.358779,3.175573,moving
0.045610,0.020220,-2.870229,3.114504,moving
0.039995,0.050005,-2.931298,3.175573,moving
0.046831,0.024858,-3.053435,3.114504,moving
0.038530,0.034624,-4.152672,3.297710,moving
0.046343,0.025347,-4.458015,3.114504,moving
0.040728,0.033403,-3.419847,3.175573,moving
